Dataset,Signature,Clean_Name,Kruskal_Wallis_Stat,Omnibus_p_value,Mean_Ectopic,Mean_Eutopic,Mean_Normal,p_ectopic_vs_eutopic,p_ectopic_vs_normal,p_eutopic_vs_normal,Mean_Diseased,p_diseased_vs_normal,Omnibus_FDR
GSE25628,GSE27786_LIN_NEG_VS_CD4_TCELL_UP,Gse27786 Lin Neg Vs Cd4 Tcell Up,4.029644268774689,0.13334411859017248,1990.3097816027241,2157.903117377118,2060.619311275114,0.020668220668220667,0.5727605727605728,0.7545787545787546,,,0.19479836454912153
GSE25628,GSE27786_LIN_NEG_VS_CD8_TCELL_DN,Gse27786 Lin Neg Vs Cd8 Tcell Dn,3.6916996047430786,0.15789108764113716,1892.0319648654586,1942.7470167201118,1972.9182075641813,0.19487179487179485,0.1078921078921079,0.4135864135864136,,,0.22361784272895935
GSE25628,GSE27786_LIN_NEG_VS_CD8_TCELL_UP,Gse27786 Lin Neg Vs Cd8 Tcell Up,8.279644268774703,0.015925683884133655,1560.6170782499075,1789.6428756289752,1819.642920347065,0.010411810411810413,0.01998001998001998,0.7545787545787546,,,0.04701886604535593
GSE25628,GSE27786_LIN_NEG_VS_ERYTHROBLAST_DN,Gse27786 Lin Neg Vs Erythroblast Dn,0.7885375494071099,0.67417283128432,-83.54330278995428,-83.96301675838288,-43.75032508232304,0.959129759129759,0.4908424908424909,0.4908424908424909,,,0.7237924270641709
GSE25628,GSE27786_LIN_NEG_VS_ERYTHROBLAST_UP,Gse27786 Lin Neg Vs Erythroblast Up,9.86067193675889,0.007224075812579174,2229.5461235370494,2393.3122211222126,2386.708223420642,0.0029526029526029526,0.012654012654012654,1.0,,,0.03164084701554473
GSE25628,GSE27786_LIN_NEG_VS_MONO_MAC_DN,Gse27786 Lin Neg Vs Mono Mac Dn,5.660079051383406,0.05901052119168388,819.2813049885937,848.6791184971345,967.1214384757599,0.6453768453768453,0.05927405927405928,0.029304029304029304,,,0.10687704804679779
GSE25628,GSE27786_LIN_NEG_VS_MONO_MAC_UP,Gse27786 Lin Neg Vs Mono Mac Up,6.433794466403171,0.04007922201482875,1768.0824172385398,1972.589064041924,2100.6896593677625,0.06495726495726495,0.01998001998001998,0.5727605727605728,,,0.0824254831811934
GSE25628,GSE27786_LIN_NEG_VS_NEUTROPHIL_DN,Gse27786 Lin Neg Vs Neutrophil Dn,0.21936758893279773,0.8961174477974274,1142.041078085707,1158.807776211835,1185.0009032089233,0.7984459984459983,0.8518148518148518,0.662004662004662,,,0.9106975814912529
GSE25628,GSE27786_LIN_NEG_VS_NEUTROPHIL_UP,Gse27786 Lin Neg Vs Neutrophil Up,7.3498023715415,0.025351910528456676,1689.626320766075,1805.0925018643547,1728.6550083435789,0.0029526029526029526,0.4908424908424909,0.22843822843822847,,,0.060695089972796525
GSE25628,GSE27786_LIN_NEG_VS_NKCELL_DN,Gse27786 Lin Neg Vs Nkcell Dn,7.130434782608688,0.028290834634198313,1536.6531066025618,1469.6258473227142,1365.8145845133186,0.08298368298368297,0.012654012654012654,0.2823842823842824,,,0.06554110619962633
GSE25628,GSE27786_LIN_NEG_VS_NKCELL_UP,Gse27786 Lin Neg Vs Nkcell Up,3.0503952569169854,0.21757805300076274,1605.0125513269531,1789.3498129268037,1737.717937253502,0.08298368298368297,0.4135864135864136,0.662004662004662,,,0.2884463331210112
GSE25628,GSE27786_LIN_NEG_VS_NKTCELL_DN,Gse27786 Lin Neg Vs Nktcell Dn,1.0503952569169854,0.5914384677434723,1843.9490942062498,1881.8676122228821,1915.7053775260617,0.4418026418026417,0.4135864135864136,1.0,,,0.65062338677139
GSE25628,GSE27786_LIN_NEG_VS_NKTCELL_UP,Gse27786 Lin Neg Vs Nktcell Up,6.3774703557312336,0.04122397897950013,1690.2129071797028,1921.8797617801233,1993.6676613289037,0.010411810411810413,0.1078921078921079,0.7545787545787546,,,0.08340665514457063
GSE25628,GSE27786_LSK_VS_BCELL_DN,Gse27786 Lsk Vs Bcell Dn,0.63833992094861,0.7267520196910908,1714.4263871635462,1716.2833255883893,1754.1208147296347,0.7209013209013208,0.9497169497169498,0.4135864135864136,,,0.7692235150847262
GSE25628,GSE27786_LSK_VS_BCELL_UP,Gse27786 Lsk Vs Bcell Up,5.212450592885361,0.07381263940108133,1982.926970108679,2091.424198142302,1903.2237055230087,0.19487179487179485,0.344988344988345,0.029304029304029304,,,0.12425054614988601
GSE25628,GSE27786_LSK_VS_CD4_TCELL_DN,Gse27786 Lsk Vs Cd4 Tcell Dn,11.523715415019751,0.0031452631887627916,1585.8250457562935,1591.4743131160928,1742.5071516447358,0.959129759129759,0.002664002664002664,0.000666000666000666,,,0.025588297096691765
GSE25628,GSE27786_LSK_VS_CD4_TCELL_UP,Gse27786 Lsk Vs Cd4 Tcell Up,3.6590909090909065,0.1604864996074133,2044.2627014673258,2169.6024478384043,2143.0087752161376,0.13038073038073036,0.1078921078921079,0.8518148518148518,,,0.226175940436019
GSE25628,GSE27786_LSK_VS_CD8_TCELL_DN,Gse27786 Lsk Vs Cd8 Tcell Dn,10.616600790513829,0.004950333181578514,2279.44610926553,2249.0340476865804,2456.0719925615026,0.8784770784770783,0.007992007992007992,0.000666000666000666,,,0.028780457351611596
GSE25628,GSE27786_LSK_VS_CD8_TCELL_UP,Gse27786 Lsk Vs Cd8 Tcell Up,1.397233201581031,0.49727275490814504,1859.1226128671065,1897.4183738420365,1907.6435792218083,0.3822843822843822,0.344988344988345,0.8518148518148518,,,0.5639461969070066
GSE25628,GSE27786_LSK_VS_ERYTHROBLAST_DN,Gse27786 Lsk Vs Erythroblast Dn,0.9911067193675933,0.6092336886420049,-361.1767578599146,-321.6807467747609,-289.56506834700014,0.5053613053613053,0.4908424908424909,0.5727605727605728,,,0.666110083272861
GSE25628,GSE27786_LSK_VS_ERYTHROBLAST_UP,Gse27786 Lsk Vs Erythroblast Up,6.335968379446641,0.04208835458575178,1853.2546282670203,1931.0636022267063,1957.6881533159642,0.06495726495726495,0.01998001998001998,0.662004662004662,,,0.08480333479809102
GSE25628,GSE27786_LSK_VS_LIN_NEG_CELL_DN,Gse27786 Lsk Vs Lin Neg Cell Dn,11.141304347826093,0.0038079961468389617,948.6568041917911,1126.8990055852983,1272.806384362004,0.014763014763014764,0.002664002664002664,0.1078921078921079,,,0.02628046201327655
GSE25628,GSE27786_LSK_VS_LIN_NEG_CELL_UP,Gse27786 Lsk Vs Lin Neg Cell Up,6.543478260869563,0.037940386384463565,1750.4482624690656,1647.1466292523273,1585.5491559906302,0.04988344988344988,0.042624042624042624,0.22843822843822847,,,0.07923084546296892
GSE25628,GSE27786_LSK_VS_MONO_MAC_DN,Gse27786 Lsk Vs Mono Mac Dn,0.7272727272727195,0.6951439283988814,938.61621545813,951.0914863148887,959.8367990508647,0.5737373737373737,0.4908424908424909,0.8518148518148518,,,0.7436849405268665
GSE25628,GSE27786_LSK_VS_MONO_MAC_UP,Gse27786 Lsk Vs Mono Mac Up,2.7895256916995947,0.24789181797023563,1865.6114670044235,2012.3565855561333,1911.1716183476867,0.06495726495726495,0.8518148518148518,0.5727605727605728,,,0.3199281952717849
GSE25628,GSE27786_LSK_VS_NEUTROPHIL_DN,Gse27786 Lsk Vs Neutrophil Dn,0.6798418972331888,0.7118265914153192,952.1333934048133,920.8767362371054,932.7933962555903,0.3822843822843822,0.7545787545787546,0.9497169497169498,,,0.7575402257263948
GSE25628,GSE27786_LSK_VS_NEUTROPHIL_UP,Gse27786 Lsk Vs Neutrophil Up,5.335968379446641,0.06939196545429824,1967.8822957770114,2107.8517453197464,2057.828512231183,0.010411810411810413,0.4908424908424909,0.4908424908424909,,,0.11886613615427705
GSE25628,GSE27786_LSK_VS_NKCELL_DN,Gse27786 Lsk Vs Nkcell Dn,2.105731225296438,0.34893639849793995,1889.3323696960101,1858.9650161295215,1812.0112117489546,0.4418026418026417,0.22843822843822847,0.4135864135864136,,,0.4226797945007368
GSE25628,GSE27786_LSK_VS_NKCELL_UP,Gse27786 Lsk Vs Nkcell Up,1.5098814229248916,0.4700384817986111,1776.7761826710098,1890.0878276465132,1910.402746196042,0.32820512820512815,0.344988344988345,1.0,,,0.5370608544378126
GSE25628,GSE27786_LSK_VS_NKTCELL_DN,Gse27786 Lsk Vs Nktcell Dn,1.2598814229248916,0.5326233785319758,2148.699567899478,2161.9691633782622,2196.043083515388,1.0,0.22843822843822847,0.5727605727605728,,,0.5981883587385399
GSE25628,GSE27786_LSK_VS_NKTCELL_UP,Gse27786 Lsk Vs Nktcell Up,2.7786561264822183,0.24924272372580478,1749.4370011207666,1876.4303885786226,1933.0417626038754,0.13038073038073036,0.2823842823842824,0.5727605727605728,,,0.32133118549672646
GSE25628,GSE27786_NEUTROPHIL_VS_MONO_MAC_DN,Gse27786 Neutrophil Vs Mono Mac Dn,8.034584980237156,0.018001638631995096,1280.3188811072505,1473.7761689369138,1575.17954396051,0.020668220668220667,0.012654012654012654,0.662004662004662,,,0.050375636654268086
GSE25628,GSE27786_NEUTROPHIL_VS_MONO_MAC_UP,Gse27786 Neutrophil Vs Mono Mac Up,6.777667984189719,0.033748004406945656,1523.6599112100344,1494.7573536541674,1651.5573371564758,0.4418026418026417,0.004662004662004662,0.08125208125208126,,,0.0734019095851068
GSE25628,GSE27786_NKCELL_VS_ERYTHROBLAST_DN,Gse27786 Nkcell Vs Erythroblast Dn,0.8063241106719374,0.6682038045568819,383.41801407736693,379.21020108482,417.4981089649917,0.7984459984459983,0.4135864135864136,0.5727605727605728,,,0.7199223652810988
GSE25628,GSE27786_NKCELL_VS_ERYTHROBLAST_UP,Gse27786 Nkcell Vs Erythroblast Up,13.391304347826079,0.001236275344762366,1923.7315123702813,1993.8109889119546,2096.36402130988,0.028127428127428127,0.001332001332001332,0.004662004662004662,,,0.02481665925737804
